clientId,cluster,jobName,cronExpression,serverTimezone,fireTimeServer,fireTimeUtc,fireTimeIst,command
"TWG","CL15","TWG - sync clocking event","0 * * * *","Pacific/Auckland","2026-07-24 20:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/sync_clocking_event.sh >> /mount/RWS4/batch_jobs/log/sync_clocking_ev"
"VBA41","CL23","VBA41 - download","0 */4 * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/download.sh >> /mount/RWS4/batch_jobs/log/dataimports.log"
"VEYR","CL15","VEYR - Monitoring RWS Processes [IN_FOLDER_CHECK]","0 */4 * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh IN_FOLDER_CHECK >> /mount/RWS4/batch"
"VEYR","CL15","VEYR - Monitoring RWS Processes [REJECTED_FILE_CHECK]","0 */4 * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh REJECTED_FILE_CHECK >> /mount/RWS4/b"
"VEYR","CL15","VEYR - Monitoring RWS Processes [UPLOAD_FILE_CHECK]","0 */4 * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh UPLOAD_FILE_CHECK >> /mount/RWS4/bat"
"VEYR","CL15","VEYR - download [VEYR]","0 */1 * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/download.sh VEYR >> /mount/RWS4/batch_jobs/log/dataimports.log"
"VEYR","CL15","VEYR - monitor VEYR NewTaUnitPayDetailGeneratorJob","*/8 * * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/WAPM/scripts/monitor_VEYR_NewTaUnitPayDetailGeneratorJob.sh >> /mount/RWS4/ba"
"WAL","CL07","WAL - DBLogMonitor","*/30 * * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/DBLogMonitor.sh  > /dev/null  2>&1"
"WAW","CL01","WAW - encryptExtracts [WAWA]","0 4,15 * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/encryptExtracts.sh WAWA >> /mount/RWS4/batch_jobs/log/encryptExtracts"
"WAW","CL01","WAW - encryptLOPSExtracts [WAWA]","*/30 * * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/encryptLOPSExtracts.sh WAWA >> /mount/RWS4/batch_jobs/log/encryptLOPS"
